tblkey,module,moduletitle,userkey,program,staffid,staff,explaining,interesting,overall,comments,year,semester
126,MOD020,redacted,10500,BSc (Hons) Psychology Stage 1,redacted,Person455,4,5,4,redacted,2017,1
127,MOD020,redacted,10500,BSc (Hons) Psychology Stage 1,redacted,Person833,2,3,4,redacted,2017,1
128,MOD020,redacted,10500,BSc (Hons) Psychology Stage 1,redacted,Person740,4,3,5,redacted,2017,1
129,MOD020,redacted,10500,BSc (Hons) Psychology Stage 1,redacted,Person007,5,4,4,redacted,2017,1
130,MOD020,redacted,10500,BSc (Hons) Psychology Stage 1,redacted,Person610,3,4,4,redacted,2017,1
131,MOD020,redacted,10500,BSc (Hons) Psychology Stage 1,redacted,Person114,5,5,5,redacted,2017,1
132,MOD020,redacted,10500,BSc (Hons) Psychology Stage 1,redacted,Person308,3,4,4,redacted,2017,1
133,MOD020,redacted,10500,BSc (Hons) Psychology Stage 1,redacted,Person913,4,4,4,redacted,2017,1
134,MOD020,redacted,10500,BSc (Hons) Psychology Stage 1,redacted,Person288,4,5,4,redacted,2017,1
135,MOD020,redacted,10500,BSc (Hons) Psychology Stage 1,redacted,Person385,0,0,0,redacted,2017,1
136,MOD020,redacted,10500,BSc (Hons) Psychology Stage 1,redacted,Person877,0,0,0,redacted,2017,1
137,MOD020,redacted,10500,BSc (Hons) Psychology Stage 1,redacted,Person709,5,4,5,redacted,2017,1
138,MOD020,redacted,10700,BSc (Hons) Psychology Stage 1,redacted,Person455,4,5,4,redacted,2017,1
139,MOD020,redacted,10700,BSc (Hons) Psychology Stage 1,redacted,Person833,3,2,3,redacted,2017,1
140,MOD020,redacted,10700,BSc (Hons) Psychology Stage 1,redacted,Person740,4,4,4,redacted,2017,1
141,MOD020,redacted,10700,BSc (Hons) Psychology Stage 1,redacted,Person007,4,4,4,redacted,2017,1
142,MOD020,redacted,10700,BSc (Hons) Psychology Stage 1,redacted,Person610,4,2,4,redacted,2017,1
143,MOD020,redacted,10700,BSc (Hons) Psychology Stage 1,redacted,Person114,4,5,4,redacted,2017,1
144,MOD020,redacted,10700,BSc (Hons) Psychology Stage 1,redacted,Person308,4,4,4,redacted,2017,1
145,MOD020,redacted,10700,BSc (Hons) Psychology Stage 1,redacted,Person913,4,5,4,redacted,2017,1
146,MOD020,redacted,10700,BSc (Hons) Psychology Stage 1,redacted,Person288,4,3,4,redacted,2017,1
147,MOD020,redacted,10700,BSc (Hons) Psychology Stage 1,redacted,Person385,0,0,0,redacted,2017,1
148,MOD020,redacted,10700,BSc (Hons) Psychology Stage 1,redacted,Person877,0,0,0,redacted,2017,1
149,MOD020,redacted,10700,BSc (Hons) Psychology Stage 1,redacted,Person709,4,3,4,redacted,2017,1
150,MOD020,redacted,10673,MPsych Advanced Psychology,redacted,Person455,5,5,5,redacted,2017,1
151,MOD020,redacted,10673,MPsych Advanced Psychology,redacted,Person833,5,5,5,redacted,2017,1
152,MOD020,redacted,10673,MPsych Advanced Psychology,redacted,Person740,5,5,5,redacted,2017,1
153,MOD020,redacted,10673,MPsych Advanced Psychology,redacted,Person007,4,4,4,redacted,2017,1
154,MOD020,redacted,10673,MPsych Advanced Psychology,redacted,Person610,5,5,5,redacted,2017,1
155,MOD020,redacted,10673,MPsych Advanced Psychology,redacted,Person114,4,4,4,redacted,2017,1
156,MOD020,redacted,10673,MPsych Advanced Psychology,redacted,Person308,4,4,4,redacted,2017,1
157,MOD020,redacted,10673,MPsych Advanced Psychology,redacted,Person913,4,4,4,redacted,2017,1
158,MOD020,redacted,10673,MPsych Advanced Psychology,redacted,Person288,5,5,5,redacted,2017,1
159,MOD020,redacted,10673,MPsych Advanced Psychology,redacted,Person385,5,5,5,redacted,2017,1
160,MOD020,redacted,10673,MPsych Advanced Psychology,redacted,Person877,5,5,5,redacted,2017,1
161,MOD020,redacted,10673,MPsych Advanced Psychology,redacted,Person709,5,5,5,redacted,2017,1
162,MOD020,redacted,10564,BSc (Hons) Psychology Stage 1,redacted,Person455,4,4,4,redacted,2017,1
163,MOD020,redacted,10564,BSc (Hons) Psychology Stage 1,redacted,Person833,4,3,4,redacted,2017,1
