tblkey,Module,moduletitle,userkey,program,staffid,staff,explaining,interesting,overall,Comments,year,semester,N
7671,PSYC082,redacted,787,BSc (Hons) Psychology with Human Biology,redacted,person 243,4,4,5,,2017,2,24
7692,PSYC082,redacted,986,BSc (Hons) Psychology with Criminology and Criminal Justice Studies,redacted,person 243,4,4,4,,2017,2,24
7695,PSYC082,redacted,843,BSc (Hons) Psychology with Criminology and Criminal Justice Studies,redacted,person 243,4,4,5,,2017,2,24
7712,PSYC082,redacted,794,BSc (Hons) Psychology with Criminology and Criminal Justice Studies,redacted,person 243,3,3,3,,2017,2,24
7732,PSYC082,redacted,987,BSc (Hons) Psychology with Criminology and Criminal Justice Studies,redacted,person 243,5,5,5,,2017,2,24
7780,PSYC082,redacted,902,BSc (Hons) Psychology with Criminology and Criminal Justice Studies,redacted,person 243,4,4,4,,2017,2,24
2734,PSYC964,redacted,9677,BSc (Hons) Psychology Stage 4,redacted,person 367,4,2,3,,2017,1,26
3613,PSYC964,redacted,8924,BSc (Hons) Psychology Stage 4,redacted,person 367,5,5,5,,2017,1,26
4082,PSYC964,redacted,8927,BSc (Hons) Psychology Stage 4,redacted,person 367,4,4,4,,2017,1,26
4639,PSYC964,redacted,9053,BSc (Hons) Psychology Stage 4,redacted,person 367,5,5,5,,2017,1,26
8599,PSYC428,redacted,9175,MPsych Advanced Psychology,redacted,person 367,4,4,4,,2017,2,26
10593,PSYC428,redacted,9497,BSc (Hons) Psychology Stage 4,redacted,person 367,4,4,4,,2017,2,26
7612,PSYC148,redacted,782,BSc (Hons) Psychology,redacted,person 647,5,5,5,,2017,2,28
7619,PSYC148,redacted,887,BSc (Hons) Psychology,redacted,person 647,1,1,1,,2017,2,28
7683,PSYC148,redacted,912,BSc (Hons) Psychology,redacted,person 647,5,5,5,,2017,2,28
7774,PSYC148,redacted,1007,BSc (Hons) Psychology,redacted,person 647,1,1,1,,2017,2,28
7783,PSYC148,redacted,967,BSc (Hons) Psychology,redacted,person 647,5,5,5,,2017,2,28
7789,PSYC148,redacted,812,BSc (Hons) Psychology,redacted,person 647,4,4,4,,2017,2,28
7798,PSYC148,redacted,823,BSc (Hons) Psychology,redacted,person 647,4,4,2,,2017,2,28
7809,PSYC148,redacted,984,BSc (Hons) Psychology,redacted,person 647,3,2,3,,2017,2,28
7659,PSYC322,redacted,1015,BSc (Hons) Psychology,redacted,person 348,4,4,5,,2017,2,29
7689,PSYC322,redacted,952,BSc (Hons) Psychology,redacted,person 348,4,1,4,,2017,2,29
7706,PSYC322,redacted,857,BSc (Hons) Psychology,redacted,person 348,5,4,5,,2017,2,29
7715,PSYC322,redacted,789,BSc (Hons) Psychology,redacted,person 348,3,3,3,,2017,2,29
7729,PSYC322,redacted,934,BSc (Hons) Psychology,redacted,person 348,5,5,5,,2017,2,29
7768,PSYC322,redacted,777,BSc (Hons) Psychology,redacted,person 348,3,4,3,,2017,2,29
7804,PSYC322,redacted,881,BSc (Hons) Psychology,redacted,person 348,5,5,5,,2017,2,29
